[2025-07-12 16:05:21,689] INFO django.server "GET /api/practices/practices/ HTTP/1.1" 200 62480
[2025-07-12 16:05:27,549] INFO django.server "GET /api/practices/practices/ HTTP/1.1" 200 62480
[2025-07-12 16:05:30,072] INFO django.server "GET /api/practices/practices/ HTTP/1.1" 200 62480
[2025-07-12 16:05:59,401] WARNING django.request Unauthorized: /api/practices/practices/
[2025-07-12 16:05:59,402] WARNING django.request Unauthorized: /api/practices/practices/
[2025-07-12 16:05:59,407] WARNING django.request Unauthorized: /api/subjects/subjects/
[2025-07-12 16:05:59,407] WARNING django.request Unauthorized: /api/subjects/subjects/
[2025-07-12 16:05:59,411] WARNING django.server "GET /api/practices/practices/ HTTP/1.1" 401 58
[2025-07-12 16:05:59,413] WARNING django.server "GET /api/practices/practices/ HTTP/1.1" 401 58
[2025-07-12 16:05:59,416] WARNING django.server "GET /api/subjects/subjects/ HTTP/1.1" 401 172
[2025-07-12 16:05:59,417] WARNING django.server "GET /api/subjects/subjects/ HTTP/1.1" 401 172
[2025-07-12 16:05:59,419] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:05:59,419] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:05:59,479] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:05:59,479] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:05:59,498] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 16:05:59,498] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 16:06:10,663] WARNING django.request Unauthorized: /api/practices/practices/
[2025-07-12 16:06:10,664] WARNING django.server "GET /api/practices/practices/ HTTP/1.1" 401 58
[2025-07-12 16:06:10,666] WARNING django.request Unauthorized: /api/practices/practices/
[2025-07-12 16:06:10,667] WARNING django.request Unauthorized: /api/subjects/subjects/
[2025-07-12 16:06:10,669] WARNING django.request Unauthorized: /api/subjects/subjects/
[2025-07-12 16:06:10,669] WARNING django.server "GET /api/practices/practices/ HTTP/1.1" 401 58
[2025-07-12 16:06:10,670] WARNING django.server "GET /api/subjects/subjects/ HTTP/1.1" 401 172
[2025-07-12 16:06:10,670] WARNING django.server "GET /api/subjects/subjects/ HTTP/1.1" 401 172
[2025-07-12 16:06:10,676] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:06:10,677] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:06:10,719] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:06:10,719] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:06:10,781] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 16:06:10,818] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 16:06:25,534] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:06:25,534] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:06:28,357] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:06:28,357] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:06:28,568] INFO django.server "POST /api/users/login/ HTTP/1.1" 200 853
